startstationname,endstationname,value
Broadway & E 22 St,E 23 St & 1 Ave,6631
DeKalb Ave & S Portland Ave,DeKalb Ave & Hudson Ave,6590
Kent Ave & N 7 St,Milton St & Franklin St,6556
Cadman Plaza E & Tillary St,Centre St & Chambers St,6518
5 Ave & E 73 St,Central Park West & W 72 St,6513
Broadway & W 36 St,Pershing Square North,6490
West Thames St,Vesey Pl & River Terrace,6488
E 32 St & Park Ave,1 Ave & E 30 St,6473
W 22 St & 8 Ave,W 22 St & 10 Ave,6435
Atlantic Ave & Furman St,Old Fulton St,6420
Grand Army Plaza & Central Park S,Central Park West & W 72 St,6407
9 Ave & W 45 St,8 Ave & W 33 St,6395
Pier 40 - Hudson River Park,12 Ave & W 40 St,6390
Bus Slip & State St,South End Ave & Liberty St,6379
South End Ave & Liberty St,West St & Chambers St,6308
8 Ave & W 52 St,W 53 St & 10 Ave,6298
Greenwich St & W Houston St,West St & Chambers St,6296
E 47 St & Park Ave,W 49 St & 8 Ave,6260
Henry St & Grand St,Norfolk St & Broome St,6250
5 Ave & E 73 St,5 Ave & E 88 St,6233
West St & Chambers St,Washington St & Gansevoort St,6174
W 20 St & 11 Ave,W 20 St & 7 Ave,6168
Central Park North & Adam Clayton Powell Blvd,Central Park S & 6 Ave,6149
6 Ave & Canal St,Barclay St & Church St,6140
E 48 St & 5 Ave,W 49 St & 8 Ave,6137
E 33 St & 5 Ave,Pershing Square North,6137
Broadway & W 41 St,Pershing Square North,6127
5 Ave & E 78 St,5 Ave & E 78 St,6115
E 17 St & Broadway,1 Ave & E 18 St,6109
Broadway & W 29 St,Broadway & E 22 St,6107
46 Ave & 5 St,45 Rd & 11 St,6074
Driggs Ave & Lorimer St,N 8 St & Driggs Ave,6073
E 32 St & Park Ave,E 33 St & 2 Ave,6069
Clark St & Henry St,Henry St & Atlantic Ave,6057
Grand Army Plaza & Central Park S,Broadway & W 60 St,6048
Carmine St & 6 Ave,W 21 St & 6 Ave,6036
Vesey Pl & River Terrace,Little West St & 1 Pl,6033
1 Ave & E 68 St,1 Ave & E 78 St,6028
Central Park West & W 72 St,Grand Army Plaza & Central Park S,6022
Pershing Square North,E 33 St & 5 Ave,5979
Pershing Square North,E 17 St & Broadway,5979
Columbus Ave & W 72 St,W 63 St & Broadway,5977
Berry St & N 8 St,Milton St & Franklin St,5965
Carmine St & 6 Ave,Barrow St & Hudson St,5963
Central Park West & W 68 St,Central Park West & W 68 St,5963
E 17 St & Broadway,Pershing Square North,5963
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,5938
Barclay St & Church St,6 Ave & Canal St,5902
Milton St & Franklin St,Berry St & N 8 St,5887
W 41 St & 8 Ave,11 Ave & W 41 St,5868
Banker St & Meserole Ave,Berry St & N 8 St,5867
Broadway & Berry St,N 6 St & Bedford Ave,5864
Old Fulton St,Old Fulton St,5857
West St & Chambers St,South End Ave & Liberty St,5850
E 11 St & 1 Ave,Broadway & E 14 St,5847
E 47 St & Park Ave,W 33 St & 7 Ave,5807
W 22 St & 10 Ave,Broadway & E 22 St,5806
Lafayette St & E 8 St,E 10 St & Avenue A,5800
W 20 St & 11 Ave,8 Ave & W 31 St,5800
Central Park West & W 85 St,Central Park West & W 85 St,5790
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,5786
45 Rd & 11 St,46 Ave & 5 St,5772
W 25 St & 6 Ave,Pershing Square North,5771
South End Ave & Liberty St,South End Ave & Liberty St,5760
Broadway & W 32 St,Pershing Square North,5748
Central Park West & W 68 St,Central Park S & 6 Ave,5746
1 Ave & E 16 St,E 20 St & FDR Drive,5746
11 Ave & W 27 St,8 Ave & W 31 St,5743
Lafayette St & E 8 St,E 17 St & Broadway,5740
Cleveland Pl & Spring St,Great Jones St,5738
LaGuardia Pl & W 3 St,University Pl & E 14 St,5728
Liberty St & Broadway,Broadway & Battery Pl,5713
1 Ave & E 68 St,Lexington Ave & E 63 St,5706
N 6 St & Bedford Ave,Kent Ave & N 7 St,5695
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,5667
W 20 St & 11 Ave,W 22 St & 8 Ave,5619
Broadway & W 58 St,Broadway & W 49 St,5618
Central Park North & Adam Clayton Powell Blvd,Central Park West & W 72 St,5591
5 Ave & E 73 St,Central Park S & 6 Ave,5588
8 Ave & W 31 St,11 Ave & W 27 St,5570
West Thames St,West St & Chambers St,5567
W 26 St & 8 Ave,W 26 St & 10 Ave,5566
W 37 St & 10 Ave,8 Ave & W 33 St,5555
W 18 St & 6 Ave,E 17 St & Broadway,5542
1 Ave & E 78 St,E 85 St & 3 Ave,5540
8 Ave & W 33 St,11 Ave & W 41 St,5538
W 17 St & 8 Ave,W 20 St & 11 Ave,5530
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,5527
W 21 St & 6 Ave,6 Ave & W 33 St,5525
West St & Chambers St,Greenwich St & W Houston St,5514
Driggs Ave & N Henry St,Graham Ave & Conselyea St,5512
Broadway & W 60 St,11 Ave & W 59 St,5498
E 20 St & FDR Drive,Broadway & E 22 St,5486
12 Ave & W 40 St,W 20 St & 11 Ave,5485
W 31 St & 7 Ave,Broadway & E 22 St,5460
1 Ave & E 62 St,1 Ave & E 78 St,5449
2 Ave & E 96 St,E 102 St & 1 Ave,5448
E 31 St & 3 Ave,W 31 St & 7 Ave,5448
Broadway & W 60 St,Amsterdam Ave & W 73 St,5441
E 17 St & Broadway,W 21 St & 6 Ave,5436
8 Ave & W 33 St,W 37 St & 10 Ave,5434
Old Fulton St,Atlantic Ave & Furman St,5431
5 Ave & E 88 St,5 Ave & E 88 St,5429
Vesey Pl & River Terrace,Broadway & Battery Pl,5428
Driggs Ave & N Henry St,N 8 St & Driggs Ave,5428
5 Ave & E 78 St,Central Park S & 6 Ave,5420
Clark St & Henry St,Hicks St & Montague St,5412
1 Ave & E 30 St,W 31 St & 7 Ave,5407
Lafayette St & Jersey St,Lafayette St & E 8 St,5397
Nassau Ave & Russell St,N 8 St & Driggs Ave,5388
Broadway & W 49 St,E 48 St & 5 Ave,5383
Broadway & Battery Pl,Little West St & 1 Pl,5379
W 21 St & 6 Ave,W 20 St & 8 Ave,5377
Broadway & W 49 St,W 47 St & 10 Ave,5372
W 54 St & 9 Ave,9 Ave & W 45 St,5357
Cleveland Pl & Spring St,Lafayette St & E 8 St,5353
E 27 St & 1 Ave,W 31 St & 7 Ave,5348
E 12 St & 3 Ave,E 10 St & Avenue A,5344
Pershing Square North,5 Ave & E 29 St,5335
W 24 St & 7 Ave,W 15 St & 7 Ave,5333
1 Ave & E 18 St,E 17 St & Broadway,5322
Lafayette St & E 8 St,Broadway & E 14 St,5314
8 Ave & W 33 St,W 49 St & 8 Ave,5288
E 11 St & 2 Ave,Broadway & E 14 St,5288
E 20 St & FDR Drive,E 23 St & 1 Ave,5278
E 24 St & Park Ave S,W 31 St & 7 Ave,5269
W 33 St & 7 Ave,E 33 St & 2 Ave,5264
1 Ave & E 16 St,E 15 St & 3 Ave,5260
Lexington Ave & E 24 St,W 31 St & 7 Ave,5239
Carmine St & 6 Ave,Mercer St & Bleecker St,5238
Centre St & Chambers St,Jay St & Tech Pl,5237
9 Ave & W 22 St,W 18 St & 6 Ave,5215
W 25 St & 6 Ave,W 26 St & 10 Ave,5194
Nassau Ave & Newell St,N 8 St & Driggs Ave,5188
Central Park S & 6 Ave,Central Park West & W 85 St,5182
5 Ave & E 78 St,Grand Army Plaza & Central Park S,5162
Hicks St & Montague St,Clark St & Henry St,5153
3 Ave & E 62 St,1 Ave & E 68 St,5137
W 47 St & 10 Ave,Broadway & W 49 St,5129
E 20 St & Park Ave,Pershing Square North,5113
Broadway & E 14 St,E 13 St & Avenue A,5113
1 Ave & E 16 St,E 23 St & 1 Ave,5113
E 85 St & 3 Ave,E 81 St & York Ave,5111
Huron St & Franklin St,Vernon Blvd & 50 Ave,5108
Broadway & W 29 St,E 17 St & Broadway,5105
Cooper Square & E 7 St,E 7 St & Avenue A,5099
8 Ave & W 33 St,W 45 St & 8 Ave,5096
E 2 St & Avenue B,Great Jones St,5095
West Drive & Prospect Park West,Grand Army Plaza & Plaza St West,5093
University Pl & E 14 St,Greenwich Ave & 8 Ave,5082
Lafayette St & E 8 St,E 7 St & Avenue A,5082
West St & Chambers St,West Thames St,5067
Washington Park,DeKalb Ave & Hudson Ave,5062
Pershing Square North,W 25 St & 6 Ave,5056
West St & Chambers St,Carmine St & 6 Ave,5051
Broadway & E 22 St,E 20 St & 2 Ave,5046
W 84 St & Columbus Ave,Columbus Ave & W 72 St,5035
West St & Chambers St,Broadway & Battery Pl,5026
W 34 St & 11 Ave,8 Ave & W 33 St,5022
Little West St & 1 Pl,Little West St & 1 Pl,5015
W 31 St & 7 Ave,E 24 St & Park Ave S,5010
Christopher St & Greenwich St,Washington St & Gansevoort St,5005
Canal St & Rutgers St,Division St & Bowery,5002
E 12 St & 3 Ave,E 13 St & Avenue A,4991
W 18 St & 6 Ave,6 Ave & W 33 St,4987
Pershing Square North,Lexington Ave & E 29 St,4983
N 8 St & Driggs Ave,Nassau Ave & Russell St,4978
W 63 St & Broadway,Broadway & W 60 St,4977
Great Jones St,Broadway & E 14 St,4973
Broadway & W 53 St,W 53 St & 10 Ave,4972
W 20 St & 8 Ave,8 Ave & W 31 St,4968
South St & Whitehall St,South St & Gouverneur Ln,4957
Sullivan St & Washington Sq,University Pl & E 14 St,4953
5 Ave & E 88 St,Central Park West & W 85 St,4938
E 32 St & Park Ave,W 31 St & 7 Ave,4936
Central Park West & W 72 St,5 Ave & E 88 St,4936
S 4 St & Wythe Ave,Broadway & Roebling St,4931
Plaza St West & Flatbush Ave,3 St & Prospect Park West,4927
W 34 St & 11 Ave,11 Ave & W 27 St,4923
E 7 St & Avenue A,Lafayette St & E 8 St,4919
Broadway & E 22 St,W 31 St & 7 Ave,4919
Central Park West & W 68 St,Grand Army Plaza & Central Park S,4911
West St & Chambers St,Barrow St & Hudson St,4909
Washington St & Gansevoort St,Christopher St & Greenwich St,4908
University Pl & E 8 St,E 12 St & 3 Ave,4897
Pershing Square North,E 39 St & 2 Ave,4895
W 22 St & 8 Ave,W 21 St & 6 Ave,4885
Broadway & E 14 St,E 7 St & Avenue A,4876
3 St & Prospect Park West,Plaza St West & Flatbush Ave,4875
W 33 St & 7 Ave,E 32 St & Park Ave,4861
Broadway & W 49 St,E 47 St & Park Ave,4854
W 15 St & 7 Ave,W 16 St & The High Line,4851
W 56 St & 10 Ave,8 Ave & W 33 St,4851
E 17 St & Broadway,E 20 St & 2 Ave,4838
W 16 St & The High Line,W 15 St & 7 Ave,4832
Little West St & 1 Pl,Broadway & Battery Pl,4818
W 15 St & 7 Ave,W 20 St & 11 Ave,4808
1 Ave & E 68 St,1 Ave & E 62 St,4792
Pershing Square North,Broadway & W 36 St,4788
9 Ave & W 22 St,W 20 St & 11 Ave,4787
Centre St & Chambers St,West St & Chambers St,4778
West Thames St,Broadway & Battery Pl,4771
E 7 St & Avenue A,Broadway & E 14 St,4769
E 17 St & Broadway,W 18 St & 6 Ave,4762
Pershing Square North,W 38 St & 8 Ave,4747
N 6 St & Bedford Ave,Bedford Ave & Nassau Ave,4738
Central Park West & W 85 St,Grand Army Plaza & Central Park S,4736
Broadway & W 60 St,W 59 St & 10 Ave,4736
Monroe St & Tompkins Ave,Macon St & Nostrand Ave,4734
South St & Gouverneur Ln,South End Ave & Liberty St,4722
W 31 St & 7 Ave,E 27 St & 1 Ave,4718
E 17 St & Broadway,W 17 St & 8 Ave,4704
8 Ave & W 33 St,W 41 St & 8 Ave,4702
E 17 St & Broadway,Broadway & E 22 St,4698
Great Jones St,Carmine St & 6 Ave,4694
West St & Chambers St,Watts St & Greenwich St,4691
Lexington Ave & E 24 St,Pershing Square North,4690
W 44 St & 5 Ave,W 33 St & 7 Ave,4687
Centre St & Chambers St,Clinton St & Tillary St,4682
Grand Army Plaza & Plaza St West,West Drive & Prospect Park West,4672
Pershing Square South,E 24 St & Park Ave S,4672
W 21 St & 6 Ave,W 26 St & 8 Ave,4662
Vesey Pl & River Terrace,West Thames St,4661
Broadway & E 22 St,Broadway & E 14 St,4656
5 Ave & E 88 St,Central Park S & 6 Ave,4654
W 24 St & 7 Ave,W 22 St & 10 Ave,4647
E 9 St & Avenue C,Broadway & E 14 St,4646
E 20 St & 2 Ave,Broadway & E 22 St,4641
W 16 St & The High Line,E 16 St & 5 Ave,4641
W 22 St & 8 Ave,8 Ave & W 31 St,4639
Central Park S & 6 Ave,Central Park West & W 76 St,4631
1 Ave & E 30 St,Pershing Square North,4625
South End Ave & Liberty St,Pier 40 - Hudson River Park,4622
W 22 St & 8 Ave,Broadway & E 22 St,4620
Broadway & Battery Pl,West Thames St,4601
Lexington Ave & E 63 St,1 Ave & E 68 St,4600
1 Ave & E 16 St,E 17 St & Broadway,4594
Pershing Square North,W 27 St & 7 Ave,4592
Great Jones St,E 17 St & Broadway,4591
Central Park West & W 76 St,Central Park West & W 76 St,4589
Broadway & W 58 St,Grand Army Plaza & Central Park S,4586
W 49 St & 8 Ave,9 Ave & W 45 St,4581
E 85 St & 3 Ave,1 Ave & E 78 St,4580
Cleveland Pl & Spring St,MacDougal St & Prince St,4577
Brooklyn Bridge Park - Pier 2,Old Fulton St,4572
E 47 St & Park Ave,1 Ave & E 68 St,4569
Barrow St & Hudson St,Greenwich Ave & 8 Ave,4566
Columbus Ave & W 72 St,Central Park West & W 72 St,4563
8 Ave & W 33 St,8 Ave & W 52 St,4557
12 Ave & W 40 St,W 16 St & The High Line,4555
Pershing Square North,Broadway & W 29 St,4554
8 Ave & W 33 St,W 34 St & 11 Ave,4553
Central Park S & 6 Ave,Central Park West & W 68 St,4550
Pershing Square North,E 33 St & 2 Ave,4549
Grand Army Plaza & Plaza St West,Grand Army Plaza & Plaza St West,4548
Cadman Plaza E & Red Cross Pl,Front St & Washington St,4545
Watts St & Greenwich St,West St & Chambers St,4540
Metropolitan Ave & Bedford Ave,S 4 St & Wythe Ave,4533
W 20 St & 11 Ave,Christopher St & Greenwich St,4531
Broadway & Berry St,Broadway & Roebling St,4506
Broadway & W 60 St,W 67 St & Broadway,4505
Broadway & Battery Pl,Vesey Pl & River Terrace,4503
5 Ave & E 73 St,Central Park North & Adam Clayton Powell Blvd,4497
Stanton St & Chrystie St,Forsyth St & Broome St,4490
Carlton Ave & Park Ave,Willoughby St & Fleet St,4486
5 Ave & E 73 St,Grand Army Plaza & Central Park S,4484
8 Ave & W 31 St,9 Ave & W 22 St,4484
46 Ave & 5 St,44 Dr & Jackson Ave,4469
University Pl & E 14 St,W 13 St & 7 Ave,4469
Meserole Ave & Manhattan Ave,N 8 St & Driggs Ave,4459
E 16 St & 5 Ave,W 15 St & 7 Ave,4455
W 15 St & 7 Ave,E 16 St & 5 Ave,4444
Cooper Square & E 7 St,E 6 St & Avenue B,4438
W 24 St & 7 Ave,W 27 St & 10 Ave,4438
Great Jones St,E 12 St & 3 Ave,4437
Vesey Pl & River Terrace,Vesey Pl & River Terrace,4436
Central Park S & 6 Ave,Broadway & W 60 St,4434
W 20 St & 8 Ave,W 21 St & 6 Ave,4427
Carmine St & 6 Ave,West St & Chambers St,4424
E 23 St & 1 Ave,Broadway & E 22 St,4408
Lafayette St & Jersey St,E 17 St & Broadway,4400
Kane St & Clinton St,Clinton St & Joralemon St,4399
Greenwich St & W Houston St,8 Ave & W 31 St,4394
Carmine St & 6 Ave,W 18 St & 6 Ave,4390
Greenwich St & W Houston St,Christopher St & Greenwich St,4389
Clinton St & Joralemon St,Henry St & Degraw St,4388
N 6 St & Bedford Ave,Milton St & Franklin St,4386
W 44 St & 5 Ave,W 41 St & 8 Ave,4384
Pershing Square North,E 20 St & Park Ave,4384
W 49 St & 8 Ave,W 47 St & 10 Ave,4383
Broadway & E 14 St,Lafayette St & E 8 St,4380
W 20 St & 7 Ave,W 20 St & 11 Ave,4380
Broadway & W 32 St,E 32 St & Park Ave,4379
Barrow St & Hudson St,West St & Chambers St,4379
West St & Chambers St,W 16 St & The High Line,4375
Clinton Ave & Myrtle Ave,DeKalb Ave & Hudson Ave,4366
1 Ave & E 18 St,E 20 St & FDR Drive,4365
E 20 St & 2 Ave,E 17 St & Broadway,4363
E 17 St & Broadway,W 31 St & 7 Ave,4363
E 17 St & Broadway,W 15 St & 7 Ave,4359
E 33 St & 2 Ave,Broadway & W 32 St,4357
5 Ave & E 29 St,Pershing Square North,4355
W 41 St & 8 Ave,E 47 St & Park Ave,4348
Central Park North & Adam Clayton Powell Blvd,Central Park West & W 85 St,4343
Liberty St & Broadway,Water - Whitehall Plaza,4343
5 Ave & E 73 St,5 Ave & E 78 St,4336
5 Ave & E 88 St,Central Park West & W 72 St,4328
Berry St & N 8 St,Bedford Ave & Nassau Ave,4328
Little West St & 1 Pl,12 Ave & W 40 St,4327
Christopher St & Greenwich St,Greenwich Ave & 8 Ave,4317
Broadway & E 22 St,University Pl & E 14 St,4316
W 52 St & 5 Ave,W 33 St & 7 Ave,4310
Broadway & E 22 St,E 20 St & FDR Drive,4310
W 53 St & 10 Ave,8 Ave & W 33 St,4301
Little West St & 1 Pl,Murray St & West St,4298
Columbus Ave & W 72 St,Broadway & W 60 St,4292
W 15 St & 7 Ave,W 21 St & 6 Ave,4287
Centre St & Chambers St,Cadman Plaza E & Red Cross Pl,4282
W 49 St & 8 Ave,8 Ave & W 33 St,4282
W 24 St & 7 Ave,9 Ave & W 22 St,4279
E 12 St & 3 Ave,E 7 St & Avenue A,4274
Halsey St & Tompkins Ave,Macon St & Nostrand Ave,4273
Pershing Square North,2 Ave & E 31 St,4273
1 Ave & E 68 St,E 47 St & Park Ave,4270
Broadway & W 58 St,Broadway & W 58 St,4270
Broadway & Roebling St,Broadway & Berry St,4267
Christopher St & Greenwich St,Watts St & Greenwich St,4264
1 Ave & E 68 St,3 Ave & E 62 St,4261
W 21 St & 6 Ave,8 Ave & W 31 St,4257
E 33 St & 5 Ave,W 33 St & 7 Ave,4256
Graham Ave & Conselyea St,Graham Ave & Herbert St,4245
Kent Ave & N 7 St,N 6 St & Bedford Ave,4235
W 11 St & 6 Ave,W 21 St & 6 Ave,4234
Little West St & 1 Pl,Pier 40 - Hudson River Park,4231
1 Ave & E 16 St,1 Ave & E 30 St,4227
Broadway & Roebling St,S 4 St & Wythe Ave,4224
E 102 St & 1 Ave,E 103 St & Lexington Ave,4223
2 Ave & E 31 St,W 31 St & 7 Ave,4220
W 31 St & 7 Ave,E 17 St & Broadway,4217
Pershing Square North,6 Ave & W 33 St,4214
Central Park West & W 72 St,Broadway & W 60 St,4213
Central Park West & W 72 St,Central Park West & W 68 St,4206
1 Ave & E 18 St,E 15 St & 3 Ave,4205
E 15 St & 3 Ave,E 20 St & FDR Drive,4204
Soissons Landing,Picnic Point,4203
E 48 St & 5 Ave,W 41 St & 8 Ave,4203
W 52 St & 11 Ave,8 Ave & W 33 St,4199
W 21 St & 6 Ave,W 38 St & 8 Ave,4199
W 31 St & 7 Ave,1 Ave & E 30 St,4195
MacDougal St & Prince St,Cleveland Pl & Spring St,4191
Central Park West & W 85 St,Central Park West & W 72 St,4191
E 15 St & 3 Ave,1 Ave & E 18 St,4188
E 68 St & 3 Ave,1 Ave & E 68 St,4187
York St & Jay St,Carlton Ave & Flushing Ave,4186
Great Jones St,Lafayette St & E 8 St,4184
W 13 St & 6 Ave,W 21 St & 6 Ave,4183
W 20 St & 11 Ave,W 15 St & 7 Ave,4180
Broadway & W 60 St,5 Ave & E 73 St,4177
E 39 St & 2 Ave,Pershing Square North,4176
Picnic Point,Soissons Landing,4175
Stanton St & Chrystie St,Suffolk St & Stanton St,4170
Pershing Square North,FDR Drive & E 35 St,4165
Cooper Square & Astor Pl,E 7 St & Avenue A,4163
Central Park West & W 76 St,5 Ave & E 73 St,4161
Central Park West & W 76 St,Grand Army Plaza & Central Park S,4159
Christopher St & Greenwich St,Vesey Pl & River Terrace,4154
11 Ave & W 27 St,W 24 St & 7 Ave,4152
Christopher St & Greenwich St,W 20 St & 11 Ave,4147
E 23 St & 1 Ave,E 20 St & FDR Drive,4142
Pershing Square North,Lexington Ave & E 24 St,4142
9 Ave & W 22 St,Greenwich Ave & 8 Ave,4141
